Density,Trial,Method,AUROC,AUPR
0.01,26,RENDOR,0.8123695813139472,0.0648109507378979
0.01,26,ND,0.822845146742057,0.10527535825725663
0.01,26,NE,0.7913658622778675,0.05817715500203285
0.01,26,Silencer,0.5196069769789983,0.011639574157335499
0.01,26,ICM,0.4532238657781367,0.01002713303996187
0.01,27,SPSID,0.9077796965913014,0.19114029280600434
0.01,27,RENDOR,0.8487946013443503,0.09053785617488767
0.01,27,ND,0.8460708307872155,0.11092256381869044
0.01,27,NE,0.8209171338239594,0.077837784035271
0.01,27,Silencer,0.5236563139297006,0.011685277679700871
0.01,27,ICM,0.5193448285023513,0.009861518471017796
0.01,28,SPSID,0.90829812063615,0.22230877100160532
0.01,28,RENDOR,0.8825800991264753,0.14188631569920038
0.01,28,ND,0.8659205634864371,0.09836646739658197
0.01,28,NE,0.8595297061912927,0.10953682288730036
0.01,28,Silencer,0.4612488561729185,0.008824943768238093
0.01,28,ICM,0.4626011486678513,0.00903009771455206
0.01,29,SPSID,0.9036813130250282,0.16607868373748083
0.01,29,RENDOR,0.8567864557853434,0.09899905632204466
0.01,29,ND,0.8377617682400774,0.09172599239363705
0.01,29,NE,0.8229441394068757,0.12044011857965764
0.01,29,Silencer,0.5535548188495909,0.01330639482090916
0.01,29,ICM,0.4539182219938616,0.010768975774969151
0.01,30,SPSID,0.8859316624129664,0.15056892528442925
0.01,30,RENDOR,0.8437400868656337,0.09611339303586315
0.01,30,ND,0.8355216998245508,0.09541054927299307
0.01,30,NE,0.7783127622063906,0.07661484166694957
0.01,30,Silencer,0.5516252650235279,0.01579117827473721
0.01,30,ICM,0.47857444769224355,0.01172821367596941
0.01,31,SPSID,0.9094144533079027,0.14129411363619912
0.01,31,RENDOR,0.8639015254026143,0.08448265642573587
0.01,31,ND,0.8497520307915686,0.09473846423626803
0.01,31,NE,0.8110171784991689,0.07531836264913336
0.01,31,Silencer,0.5627064620195797,0.01171145823820821
0.01,31,ICM,0.48916195213732483,0.009298232610946306
0.01,32,SPSID,0.888711855098001,0.21097417818908018
0.01,32,RENDOR,0.8354882509315728,0.10539055362277108
0.01,32,ND,0.8360746554992352,0.12486102272534888
0.01,32,NE,0.8197649804913213,0.10766163841500635
0.01,32,Silencer,0.48718491481400966,0.011876163911596547
0.01,32,ICM,0.4320171172923556,0.009185043414874465
0.01,33,SPSID,0.9008001799564256,0.13332844350264172
0.01,33,RENDOR,0.8427833646981614,0.07899625713403714
0.01,33,ND,0.826575691272693,0.10127044115910434
0.01,33,NE,0.7865098773119241,0.05905627888763196
0.01,33,Silencer,0.5650637558251037,0.011862153161294815
0.01,33,ICM,0.4757511035665462,0.008251030102110469
0.01,34,SPSID,0.9224798805159128,0.19054411697970636
0.01,34,RENDOR,0.8817926580769374,0.14600752383081275
0.01,34,ND,0.8707232811645353,0.11792874871754665
0.01,34,NE,0.8695797368289294,0.13937444224947756
0.01,34,Silencer,0.5223002954038114,0.01670549610929864
0.01,34,ICM,0.45441787877957707,0.00925825079081875
0.01,35,SPSID,0.9163709899806968,0.15602838321084492
0.01,35,RENDOR,0.8702031436712934,0.12153231293022893
0.01,35,ND,0.8643446088794926,0.10337356427344625
0.01,35,NE,0.8276183472745656,0.11724291524196274
0.01,35,Silencer,0.5143266844379079,0.01230849080091839
0.01,35,ICM,0.3815203603272359,0.008900140759133212
0.01,36,SPSID,0.9074017911967771,0.21854628780916463
0.01,36,RENDOR,0.8730979766665169,0.10444207400322959
0.01,36,ND,0.8582767968129877,0.10343284835943367
0.01,36,NE,0.8623485495200013,0.1260990916245166
0.01,36,Silencer,0.4832777328480927,0.010928601246661371
0.01,36,ICM,0.46075766425544024,0.011139868533420949
0.01,37,SPSID,0.9112081146548244,0.18099484628258247
0.01,37,RENDOR,0.8669366870864125,0.10949848373132512
0.01,37,ND,0.8569140439872918,0.08918514541213332
0.01,37,NE,0.8378473258324411,0.0853528062013361
0.01,37,Silencer,0.5574491846729037,0.011841244123362401
