Beta,Trial,Method,AUROC,AUPR
0.1,22,SPSID,0.9184099567197623,0.49373470631594446
0.1,22,RENDOR,0.8630972005848999,0.2792104540694916
0.1,22,ND,0.854298325753629,0.2627053021018326
0.1,22,NE,0.8295019542801632,0.26723015901727365
0.1,22,Silencer,0.551398323320741,0.05977561181124278
0.1,22,ICM,0.4597411575009711,0.04722156272733488
0.1,23,SPSID,0.9093165712282619,0.4487022278427215
0.1,23,RENDOR,0.8543688513567622,0.2767151656644167
0.1,23,ND,0.84013943094406,0.2554592778280051
0.1,23,NE,0.7980361252115608,0.25335211931361695
0.1,23,Silencer,0.5636217897868496,0.058532216825871064
0.1,23,ICM,0.4530746966595587,0.043054176942872016
0.1,24,SPSID,0.909028729011954,0.45727958941269115
0.1,24,RENDOR,0.8648654414014028,0.2885372507734308
0.1,24,ND,0.8502296351164037,0.252622948820925
0.1,24,NE,0.8202360301332832,0.2633029183348358
0.1,24,Silencer,0.5553121303802788,0.05344847661883095
0.1,24,ICM,0.4299825078814385,0.03893214240981072
0.1,25,SPSID,0.9083234350654691,0.42090374809140385
0.1,25,RENDOR,0.843079868605368,0.23113740632240076
0.1,25,ND,0.835811075320638,0.23496883838672242
0.1,25,NE,0.7999624122050936,0.2124843021251403
0.1,25,Silencer,0.5284152143451246,0.0537854041475468
0.1,25,ICM,0.4619783969329072,0.043428943723233616
0.1,26,SPSID,0.9145582979065956,0.4261327358460907
0.1,26,RENDOR,0.8603489031552244,0.2737365316012406
0.1,26,ND,0.8461175504135429,0.24187689599972745
0.1,26,NE,0.8110569004366623,0.2296980165959195
0.1,26,Silencer,0.5094929028118884,0.045838497980086546
0.1,26,ICM,0.45119754214050156,0.03704340393712518
0.1,27,SPSID,0.897652297936526,0.39916314868815544
0.1,27,RENDOR,0.845539998837094,0.2650887524745593
0.1,27,ND,0.8417370395832693,0.25003066587268585
0.1,27,NE,0.7884340444161697,0.22644946242132388
0.1,27,Silencer,0.5338245328709071,0.05447547360008678
0.1,27,ICM,0.4864534273235034,0.04892137604856368
0.1,28,SPSID,0.910976058466204,0.4404321743291598
0.1,28,RENDOR,0.8618167455591893,0.27553256337284904
0.1,28,ND,0.8585176895665692,0.27084545542663385
0.1,28,NE,0.8241867995909039,0.2571137346227345
0.1,28,Silencer,0.5071341132198526,0.04968221037335238
0.1,28,ICM,0.4346684465075563,0.041387203667977955
0.1,29,SPSID,0.921044021225914,0.47158185427706256
0.1,29,RENDOR,0.8593456634102933,0.2713609711829602
0.1,29,ND,0.8576034579089641,0.26424448758267377
0.1,29,NE,0.814819726476353,0.24288394317358278
0.1,29,Silencer,0.5410174521995122,0.05785198779062023
0.1,29,ICM,0.46650757767808226,0.04691002039831332
0.1,30,SPSID,0.9080592380913293,0.4423954566057338
0.1,30,RENDOR,0.8578668027950789,0.26633415679259587
0.1,30,ND,0.8522440238600955,0.25866835125943033
0.1,30,NE,0.8185759702569678,0.25733351363964474
0.1,30,Silencer,0.5252741807498008,0.0547158743373368
0.1,30,ICM,0.4636989475700395,0.04453732401836077
0.1,31,SPSID,0.9023831128234223,0.43194900489309
0.1,31,RENDOR,0.8478916513221838,0.25994948273757795
0.1,31,ND,0.8459572330222324,0.24878713500366417
0.1,31,NE,0.7731396671659156,0.2260633822702099
0.1,31,Silencer,0.5240105981721224,0.056074780106387376
0.1,31,ICM,0.47048211489578834,0.0508159259685826
0.1,32,SPSID,0.9098567530491548,0.47259007364722133
0.1,32,RENDOR,0.8519850368022253,0.2706361046804325
0.1,32,ND,0.846415353285195,0.2633948358269192
0.1,32,NE,0.8126405768759036,0.2581451096258044
0.1,32,Silencer,0.5242549188558687,0.05793521363638029
0.1,32,ICM,0.4478920728863095,0.045989002595081444
0.1,33,SPSID,0.9093523297454263,0.4699853366818621
0.1,33,RENDOR,0.8574127563951282,0.2631539686941471
0.1,33,ND,0.8505160181755372,0.25745180024991543
0.1,33,NE,0.8167200235317457,0.2534076562711042
0.1,33,Silencer,0.5439623372359091,0.056682211620180147
0.1,33,ICM,0.45520203782180857,0.04436189574503769
0.1,34,SPSID,0.9003463096561011,0.44512443687470254
0.1,34,RENDOR,0.8490356834177061,0.27510625013891216
0.1,34,ND,0.8446046837058073,0.24853266091552675
0.1,34,NE,0.8001967321068446,0.2518233586137636
0.1,34,Silencer,0.5293343681465672,0.04933492196352354
0.1,34,ICM,0.4421682865021549,0.03919435627511822
0.1,35,SPSID,0.9116123419566626,0.43760293477616197
0.1,35,RENDOR,0.8582360387886231,0.2885939809115339
0.1,35,ND,0.8510277693185985,0.25753339785359874
0.1,35,NE,0.8025564618762263,0.24610735162078126
0.1,35,Silencer,0.5018133404474332,0.051888142067214746
0.1,35,ICM,0.4336673101235823,0.04192411938040756
0.1,36,SPSID,0.9080125622430215,0.4812094726940733
0.1,36,RENDOR,0.8550226244343891,0.27512424867759755
0.1,36,ND,0.8499284076117276,0.26099312290827315
0.1,36,NE,0.8079571891981239,0.25552243935801067
0.1,36,Silencer,0.5020052067191472,0.05214576653037493
0.1,36,ICM,0.4520238021446724,0.045311921884888404
0.1,37,SPSID,0.9079029303439141,0.4797186701139335
0.1,37,RENDOR,0.8466205504303358,0.2892864301051244
0.1,37,ND,0.840618041883231,0.2592696078850509
0.1,37,NE,0.7994310254270331,0.2592167606962735
0.1,37,Silencer,0.5225815559758844,0.05750082273588602
0.1,37,ICM,0.4471706746493351,0.0465503733380417
0.1,38,SPSID,0.9114657825666529,0.4190032304436855
0.1,38,RENDOR,0.8526115761845559,0.247511916488467
0.1,38,ND,0.8440897361514024,0.246159618636912
0.1,38,NE,0.787066169360409,0.2269836878527524
0.1,38,Silencer,0.5014249481972648,0.049220615936202465
0.1,38,ICM,0.44787898881060917,0.04135121342791519
0.1,39,SPSID,0.9141125777832713,0.43594022692292106
0.1,39,RENDOR,0.8608999547519445,0.2838699504648897
0.1,39,ND,0.8572009983420881,0.251280406193667
0.1,39,NE,0.809541747489221,0.24416001001241536
0.1,39,Silencer,0.5737758559127936,0.062029966199646056
0.1,39,ICM,0.43963146024728655,0.039976515129197865
0.1,40,SPSID,0.8991593895477037,0.4005084597869258
0.1,40,RENDOR,0.8477734245568175,0.2556668137747788
0.1,40,ND,0.8423206259250416,0.24231688661364856
0.1,40,NE,0.7830861683853747,0.22954312344444827
0.1,40,Silencer,0.5158448424146103,0.052042789942037176
0.1,40,ICM,0.460827198748184,0.046258398868638764
0.1,41,SPSID,0.9160714662646061,0.49052512829968165
0.1,41,RENDOR,0.8675088830255057,0.2924387219940629
0.1,41,ND,0.8543678351551702,0.2696086586350879
0.1,41,NE,0.8172211584369896,0.26968500755894
0.1,41,Silencer,0.517966478200779,0.0554920811522628
0.1,41,ICM,0.44015308455836166,0.04566607157915757
0.1,42,SPSID,0.9138033759968025,0.4669235078463354
0.1,42,RENDOR,0.8626287642978925,0.28694097627718085
0.1,42,ND,0.8506937376659637,0.2643712752809779
0.1,42,NE,0.8146007561747778,0.2649625615609615
0.1,42,Silencer,0.5115201884806777,0.0558179725554517
