Method,AUROC_0.01,AUROC_0.03,AUROC_0.05,AUROC_0.07,AUROC_0.09,AUPR_0.01,AUPR_0.03,AUPR_0.05,AUPR_0.07,AUPR_0.09
SPSID,0.909,0.896,0.878,0.856,0.832,0.177,0.277,0.305,0.313,0.317
RENDOR,0.865,0.842,0.816,0.789,0.764,0.096,0.17,0.203,0.222,0.238
ND,0.857,0.835,0.807,0.778,0.751,0.105,0.164,0.187,0.201,0.214
NE,0.83,0.81,0.777,0.744,0.717,0.089,0.168,0.199,0.216,0.23
Silencer,0.526,0.521,0.517,0.514,0.511,0.012,0.033,0.054,0.074,0.094
ICM,0.453,0.46,0.467,0.472,0.476,0.009,0.027,0.046,0.064,0.084
