Noise,Trial,Method,AUROC,AUPR
0.1,1,SPSID,0.9581792611335238,0.5252231720834104
0.1,1,RENDOR,0.9464020562916823,0.3955962553442743
0.1,1,ND,0.93325890930397,0.3376963403553003
0.1,1,NE,0.8884223733323802,0.3311109110690073
0.1,1,Silencer,0.5580904144058996,0.06125533171125583
0.1,1,ICM,0.46774314489514957,0.043051765799363324
0.1,2,SPSID,0.9664372889012807,0.5533225478227811
0.1,2,RENDOR,0.9421501275856836,0.3729391057469995
0.1,2,ND,0.9264438975926365,0.33511939501652255
0.1,2,NE,0.9083509506280462,0.31120712713311516
0.1,2,Silencer,0.519365715626864,0.050134425032609925
0.1,2,ICM,0.4197754280208513,0.03920741902386167
0.1,3,SPSID,0.9619169343139001,0.5354516679204391
0.1,3,RENDOR,0.9437532660529295,0.36692707975636707
0.1,3,ND,0.9292486089108126,0.32682015504006035
0.1,3,NE,0.8846491442282094,0.289441489582378
0.1,3,Silencer,0.4932173868779136,0.046010295075500925
0.1,3,ICM,0.43207550025211233,0.03721909970745676
0.1,4,SPSID,0.9507210588374788,0.5005726618832625
0.1,4,RENDOR,0.9322380078783726,0.3443903532212279
0.1,4,ND,0.9189548846239989,0.30854995297672766
0.1,4,NE,0.8643187447301854,0.2780666730744775
0.1,4,Silencer,0.5433160225416316,0.05932302810079259
0.1,4,ICM,0.42290179041947723,0.04192292323368914
0.1,5,SPSID,0.9506951775382778,0.5486312164690412
0.1,5,RENDOR,0.9359811734517807,0.38828396904142193
0.1,5,ND,0.9196939658002871,0.34128985745404944
0.1,5,NE,0.8775151646883862,0.32070880410120933
0.1,5,Silencer,0.568808993886222,0.07309083019433954
0.1,5,ICM,0.45027922267536813,0.045906794305836475
0.1,6,SPSID,0.9605308837059764,0.5393721038360908
0.1,6,RENDOR,0.9383227987727922,0.37689612935792477
0.1,6,ND,0.9281712062755882,0.32522064408768897
0.1,6,NE,0.885147210222628,0.3141977681519497
0.1,6,Silencer,0.5590345827732572,0.060686707931436865
0.1,6,ICM,0.447494365036204,0.04346213929251569
0.1,7,SPSID,0.9652660292707419,0.5565075623945792
0.1,7,RENDOR,0.9462399085900776,0.381002191307516
0.1,7,ND,0.9332635575848361,0.3249532075548856
0.1,7,NE,0.9009378192863492,0.3053969121593225
0.1,7,Silencer,0.5925716978119395,0.06721282289248534
0.1,7,ICM,0.43631301622286156,0.03844329956356483
0.1,8,SPSID,0.9501866113877209,0.5175705999765691
0.1,8,RENDOR,0.9279352137320344,0.3838041695294189
0.1,8,ND,0.9141217305389795,0.3350777217103793
0.1,8,NE,0.8714122570822729,0.3128764784393993
0.1,8,Silencer,0.53243026279972,0.060510503950528975
0.1,8,ICM,0.45751701232618097,0.04925459377151787
0.1,9,SPSID,0.9592913938839516,0.5571795750563626
0.1,9,RENDOR,0.9424534360809718,0.38884120128328137
0.1,9,ND,0.9265365276493518,0.3345112861546832
0.1,9,NE,0.8891441816672034,0.3179039913773468
0.1,9,Silencer,0.486845033689949,0.04937196343913243
0.1,9,ICM,0.44205995361533534,0.04101151610866058
0.1,10,SPSID,0.9576762197165619,0.519153450840499
0.1,10,RENDOR,0.9370486051568457,0.3662342692228616
0.1,10,ND,0.9241862316359907,0.34772108367287774
0.1,10,NE,0.8804419701417359,0.30410613693693705
0.1,10,Silencer,0.5380168820959464,0.06171781430410319
0.1,10,ICM,0.46972346967379663,0.04534103186361816
0.1,11,SPSID,0.96239276914142,0.5660557157037561
0.1,11,RENDOR,0.9434106376620374,0.3929367022047349
0.1,11,ND,0.9340113109032371,0.35625938556362774
0.1,11,NE,0.8910935940592384,0.3248615186551031
0.1,11,Silencer,0.5407165451562156,0.054539053961142836
0.1,11,ICM,0.47091801004787115,0.042177052135342605
0.1,12,SPSID,0.9617351845652738,0.565628058208322
0.1,12,RENDOR,0.9381653462558249,0.3854017492941216
0.1,12,ND,0.9263721911381039,0.3369396125870997
0.1,12,NE,0.9009481453142685,0.33699828395653675
0.1,12,Silencer,0.5504145080473329,0.05908725011014509
0.1,12,ICM,0.437324852948209,0.04172151306027992
0.1,13,SPSID,0.9625389831019802,0.5407080828208581
0.1,13,RENDOR,0.9532716580121352,0.4296516159065771
0.1,13,ND,0.9376266832969429,0.3427236525479761
0.1,13,NE,0.9044206931921457,0.3286280034305297
0.1,13,Silencer,0.5973097417216295,0.06425988097324009
0.1,13,ICM,0.4423431908258195,0.037320454689232715
0.1,14,SPSID,0.9630963589774151,0.5004189691312544
0.1,14,RENDOR,0.9419940300448018,0.37658181001598257
0.1,14,ND,0.9270903781874522,0.3330091186987609
0.1,14,NE,0.8865711762761999,0.2855529878658689
0.1,14,Silencer,0.6044796333515718,0.07273159529619178
0.1,14,ICM,0.3897088157060745,0.036883547671005996
0.1,15,SPSID,0.9582790616246498,0.5042891157428744
0.1,15,RENDOR,0.9451089810924369,0.3975619379238624
0.1,15,ND,0.931474855567227,0.34790606875232005
0.1,15,NE,0.8913414740896358,0.30106934016253944
0.1,15,Silencer,0.5513314075630252,0.05756162935892627
0.1,15,ICM,0.45293373599439773,0.0414847928668726
0.1,16,SPSID,0.9576234882141927,0.5344383336408296
