Trial,Method,AUROC,AUPR
27,RENDOR,0.8559667357369802,0.2726197268930761
27,ND,0.8517596353087442,0.25210055522488806
27,NE,0.8136351429755491,0.24265112669741723
27,Silencer,0.49215029700234836,0.04507043746893871
27,ICM,0.48398740157480313,0.044938847151731826
28,SPSID,0.8989596410439353,0.3541194513766796
28,RENDOR,0.8508908090581397,0.22805675494910468
28,ND,0.8440578084109223,0.23057511806668704
28,NE,0.7948815356028608,0.19804952039651366
28,Silencer,0.5361411496869664,0.04978021806692089
28,ICM,0.45529524644643116,0.041514653500447654
29,SPSID,0.8893820310901479,0.37008199137296655
29,RENDOR,0.83905005620925,0.24713807559565176
29,ND,0.8269214890447968,0.22692971603194376
29,NE,0.7847815136108741,0.2257352951317898
29,Silencer,0.5346101335388401,0.058618430051436625
29,ICM,0.43905611558559077,0.04340345473275735
30,SPSID,0.9095838440183804,0.4699833450567854
30,RENDOR,0.86519348080247,0.28845769159479756
30,ND,0.853634829823553,0.25689956006363257
30,NE,0.81875924311578,0.2630680086956315
30,Silencer,0.5511175882095635,0.06273586623503649
30,ICM,0.4663470670231202,0.04917757600623661
31,SPSID,0.910307473895839,0.44647421826904027
31,RENDOR,0.8485726708416345,0.25427829939286517
31,ND,0.8437004474609204,0.23831187121989375
31,NE,0.8064549029114181,0.2485759342965402
31,Silencer,0.5026997286399776,0.04738706013331463
31,ICM,0.4554010377309363,0.04144270342375243
32,SPSID,0.9019507109857803,0.45748363446982515
32,RENDOR,0.855473919933366,0.278409311535982
32,ND,0.8474225000794102,0.2510256609187874
32,NE,0.8013285322528844,0.24787260329975935
32,Silencer,0.5446366807957959,0.05926460954570556
32,ICM,0.4338385291117707,0.04017318164649191
33,SPSID,0.916523598075738,0.4503250257369124
33,RENDOR,0.8497340234438067,0.26334975530375976
33,ND,0.8464255886944959,0.24518407703829875
33,NE,0.7958096329751758,0.2511047976592896
33,Silencer,0.5086462456857529,0.05219222135690049
33,ICM,0.4544095134484476,0.04424781538457191
34,SPSID,0.916781491931413,0.45408267592628226
34,RENDOR,0.8624012879983421,0.28852939118583193
34,ND,0.8585533398158333,0.25864072213702377
34,NE,0.8168091222588854,0.2515475760267386
34,Silencer,0.5135231324289714,0.05137316231931763
34,ICM,0.4401571740551225,0.042077477141245566
35,SPSID,0.9164643192588481,0.4884122884369684
35,RENDOR,0.8590136653431812,0.2667801568450279
35,ND,0.8496449803611833,0.24625448742192818
35,NE,0.819974401941112,0.252480061999261
35,Silencer,0.5025953834550088,0.04885696897175909
35,ICM,0.4624487683046578,0.04289398912805702
36,SPSID,0.9059627020306672,0.4323085212363833
36,RENDOR,0.8522689874292029,0.25630322576956355
36,ND,0.8415827600497306,0.2371747609321804
36,NE,0.7997331123083299,0.2449626208406819
36,Silencer,0.5280425473131648,0.05403829957195168
36,ICM,0.4634939632545932,0.04316398038304224
37,SPSID,0.9074260357472627,0.4721861549050749
37,RENDOR,0.8621749438015022,0.29342241790941676
37,ND,0.8448149700052361,0.24788659845962793
37,NE,0.8095485466730722,0.26129144111557445
37,Silencer,0.5040444709718905,0.0506093063045016
37,ICM,0.44180827361305575,0.04280015949701773
38,SPSID,0.9068288188670856,0.45804779986515665
38,RENDOR,0.8550151499886344,0.26574053416355625
38,ND,0.8413419625958894,0.24494335681786816
38,NE,0.8059048735585863,0.24259011144013906
38,Silencer,0.5283607454177425,0.05592274094939882
38,ICM,0.4460695375735539,0.0447727254827071
39,SPSID,0.9142113238641373,0.4946750360001628
39,RENDOR,0.8651895854970392,0.30063565697112926
39,ND,0.8587355322696808,0.2761536615515648
39,NE,0.8089553426724793,0.27271319918620446
39,Silencer,0.5466445555764502,0.06909312717017947
39,ICM,0.4567366777495223,0.04935079063357377
40,SPSID,0.9019139660174057,0.3872506501286687
40,RENDOR,0.8568579085509049,0.2465870855025281
40,ND,0.8512458626882166,0.2397485352698837
40,NE,0.7980276833816825,0.21960381607483156
40,Silencer,0.549959165630612,0.05599688313427661
40,ICM,0.4415479486116867,0.04106394688588873
41,SPSID,0.903985317963076,0.4311622279417974
41,RENDOR,0.8544704612641358,0.2751438605038121
41,ND,0.84446290126643,0.2601155755064325
41,NE,0.7895650133733753,0.2357393902070183
41,Silencer,0.530003910343641,0.05396017080086672
41,ICM,0.448734456384027,0.04398572550891665
42,SPSID,0.9116167461038581,0.47664049603375436
42,RENDOR,0.8497202429343408,0.2562560474691223
42,ND,0.8417660030074549,0.24245134934840204
42,NE,0.8014020265782494,0.2459520801465984
42,Silencer,0.5357253757990212,0.053620172332628974
42,ICM,0.4595060547611836,0.04680579917273232
43,SPSID,0.911590101419368,0.451997143814131
43,RENDOR,0.8584485404133193,0.2699267678642283
43,ND,0.8502299349650072,0.2511534029371727
43,NE,0.8167617232240267,0.24017137606634903
43,Silencer,0.5087452332268098,0.046977082524335884
43,ICM,0.4762144840721209,0.04422448657357929
44,SPSID,0.9081477069529764,0.40906898340740655
44,RENDOR,0.8597410270850581,0.27730713897187226
44,ND,0.8514746732344192,0.25995786429695694
44,NE,0.8065186154084388,0.2427931720712002
44,Silencer,0.5273882716481927,0.054462087690213955
44,ICM,0.45626241942781315,0.04322044541095999
45,SPSID,0.9024634562351553,0.40977232148086795
45,RENDOR,0.8500126993235882,0.25261309119810305
45,ND,0.8403624886423413,0.24472553628483434
45,NE,0.808211414513361,0.22325961943107564
45,Silencer,0.5394371914834829,0.0556131933781809
45,ICM,0.48453275522186623,0.04960050491766785
46,SPSID,0.9135960509938221,0.4759886699750274
46,RENDOR,0.8543663242658434,0.2633053961874667
46,ND,0.8407375511763654,0.24598015448332672
46,NE,0.8031829730089283,0.2515007992009644
46,Silencer,0.5359669693123035,0.05814431540525034
46,ICM,0.49668952016165036,0.05213155769019144
47,SPSID,0.9164774792739439,0.45296142921635574
47,RENDOR,0.8673254476086949,0.26204032480147027
47,ND,0.8528681632249708,0.24104290437819748
47,NE,0.8155517771997501,0.24549389967722612
47,Silencer,0.5534895919728664,0.059886060073605134
47,ICM,0.4530681445194626,0.04111638909090587
48,SPSID,0.9005956999907437,0.38650652937671626
48,RENDOR,0.8366405669444466,0.2390992349768992
48,ND,0.8299950646696962,0.22576993946073434
48,NE,0.785953729872633,0.21583486695822995
48,Silencer,0.5227970303239496,0.05188217141703981
48,ICM,0.44918123692094214,0.04433521322517432
49,SPSID,0.9186941153288454,0.5026385886499999
49,RENDOR,0.8602173570440395,0.28524683604629963
49,ND,0.8561324607326615,0.267210376163143
49,NE,0.8134497581691247,0.2574637740709569
49,Silencer,0.5021858166022202,0.050525104358133066
49,ICM,0.4967894919712642,0.051900997171114155
50,SPSID,0.9091650858931238,0.46438067255432286
50,RENDOR,0.85770243200017,0.28857654329970106
50,ND,0.8509985706619058,0.2634333255818184
50,NE,0.7984698112104741,0.2507873643119686
50,Silencer,0.5153108146164432,0.05554358299711061
50,ICM,0.44156334518249296,0.042263492362932836
51,SPSID,0.9128222823038575,0.42240512839781397
51,RENDOR,0.8524197563542631,0.252968961217938
51,ND,0.845079525637182,0.22745377789590168
51,NE,0.8198262194216137,0.2300728055029635
51,Silencer,0.5098412188228981,0.04722880245636055
51,ICM,0.466434112924064,0.04350711100005687
52,SPSID,0.9011740590461035,0.38487016735595525
52,RENDOR,0.8419788929065949,0.2374203869426803
52,ND,0.8380983740911554,0.21825948383904922
52,NE,0.7841371158338675,0.21637696554426208
52,Silencer,0.5241642995907427,0.04968484023327609
52,ICM,0.4730798032236197,0.04266291091481989
53,SPSID,0.91059059119295,0.4832319376978218
53,RENDOR,0.8591767126676563,0.3075154054573299
53,ND,0.8554107159572619,0.26816818846456997
53,NE,0.8135802376272047,0.2729292766187647
53,Silencer,0.5002030930316524,0.049802698225100264
53,ICM,0.4626417472352603,0.04535848543393523
54,SPSID,0.906720174420041,0.42922387674559426
54,RENDOR,0.8474927560272325,0.27245144130429766
54,ND,0.8416770635175531,0.2528568398875675
54,NE,0.8069313613727727,0.24880779892323163
54,Silencer,0.5307597524520098,0.05111974113342861
54,ICM,0.4748234447075765,0.044071264605949165
55,SPSID,0.9065744567372668,0.4441581860560164
55,RENDOR,0.8526335324373898,0.2744888905698032
55,ND,0.8432247700662566,0.25293997595311674
55,NE,0.7935993314406061,0.2468999272776908
55,Silencer,0.5040967683402319,0.05237275229785425
55,ICM,0.4623964983206617,0.04833575814077975
56,SPSID,0.9025656914567095,0.45892211594385873
56,RENDOR,0.8548483430721603,0.28928362606090346
56,ND,0.8468154699689089,0.25216861822828707
56,NE,0.7937591871812484,0.26133915359931426
56,Silencer,0.5506537208291442,0.06146068590939375
56,ICM,0.4869985831417091,0.04873313479501405
57,SPSID,0.9063579565429741,0.4691971840849053
57,RENDOR,0.8533808755635852,0.28906013807328274
57,ND,0.8392069706139375,0.25289173809243837
57,NE,0.8146480738698343,0.2653206522730275
57,Silencer,0.504659500196329,0.05229775230811401
57,ICM,0.45903227377322126,0.04705109820468181
58,SPSID,0.9117582481101489,0.44931104223980606
58,RENDOR,0.8618408334887786,0.2748054581630732
58,ND,0.8537354824516922,0.2776200400876217
58,NE,0.8248032867308026,0.2487709680590204
58,Silencer,0.5358499518631308,0.05682880840505141
58,ICM,0.46319387439019044,0.04501859418274298
59,SPSID,0.91042202480901,0.47000229250929326
59,RENDOR,0.8518782370533008,0.2732904927819241
59,ND,0.8463276125026062,0.2493020862065152
59,NE,0.7982656704306671,0.2461039085056336
59,Silencer,0.5249645097413298,0.053172189814057316
59,ICM,0.45465811267086587,0.043973279470763516
60,SPSID,0.9052700422219184,0.4140600720480296
60,RENDOR,0.8611839874619074,0.25969807515171645
60,ND,0.8523060599038677,0.23249912612705925
60,NE,0.8008953539061812,0.22928561120266466
60,Silencer,0.5328531415385952,0.05105162519120705
60,ICM,0.47177587431344187,0.04533457759145744
61,SPSID,0.9076982535551,0.4500475048890071
61,RENDOR,0.8570971764814093,0.2686256909893733
61,ND,0.8475021752450411,0.25764068852898814
61,NE,0.7892237566662315,0.24431509054728245
61,Silencer,0.5353242471094866,0.05556376062202606
61,ICM,0.4190821218677554,0.041924354560359686
62,SPSID,0.8992156862745099,0.38883915395254337
62,RENDOR,0.8451327506766669,0.26921398182319844
62,ND,0.8415121180189674,0.2420850571318079
62,NE,0.7951416351577512,0.24501041155010633
62,Silencer,0.516701171511808,0.05534517903596812
62,ICM,0.4803467013781276,0.04746135041065879
63,SPSID,0.9154044811751485,0.4467601819445008
63,RENDOR,0.8607787696957322,0.2833688384452805
63,ND,0.8571047346002392,0.26078359265377693
63,NE,0.8214275235576357,0.27037678941917886
63,Silencer,0.502560198189319,0.054550487882171796
63,ICM,0.46583282087454714,0.050124283231586825
64,SPSID,0.9276853079210403,0.5027991413203856
64,RENDOR,0.8733488236408022,0.30547109324563065
64,ND,0.8642588450849834,0.278981924195666
64,NE,0.8283453178498498,0.28080098613241117
64,Silencer,0.5212836824623448,0.057439477901452894
64,ICM,0.489117820165719,0.04946059189083732
65,SPSID,0.905661989866423,0.41726665113802264
65,RENDOR,0.847908942623785,0.2618998977166625
65,ND,0.8446289206114739,0.2394512249231583
65,NE,0.7836416423484884,0.23573115735660788
65,Silencer,0.5398238851933145,0.06096515455854054
65,ICM,0.4371549740541509,0.043557955172950746
66,SPSID,0.9106298515065276,0.43536307544454445
66,RENDOR,0.846865095217936,0.256110445492701
66,ND,0.8431728820749053,0.2531621611079659
66,NE,0.7876218812580335,0.21744603266281504
66,Silencer,0.5353164973155671,0.054365026810310024
66,ICM,0.46204613152911733,0.044693432326962684
67,SPSID,0.8953449537322545,0.4255655272339003
67,RENDOR,0.8398488461967777,0.249183429391754
67,ND,0.8362435370620187,0.23960881116150964
67,NE,0.7857642161334726,0.23565077636222448
67,Silencer,0.5293837188220593,0.05146012723953737
67,ICM,0.4605210161572617,0.04298065768572919
68,SPSID,0.9061027094159934,0.46710084556003095
68,RENDOR,0.8583935483857204,0.29164992600286016
68,ND,0.8503965584449249,0.26321256188592296
